match_id,date,home_team,away_team,opponent,home_team_score,away_team_score,result,year
houston-dash-vs-portland-thorns-fc-2018-06-22,2018-06-22,HOU,POR,HOU,1,3,win,2018
portland-thorns-fc-vs-sky-blue-fc-2018-06-27,2018-06-27,POR,NJY,NJY,1,1,tie,2018
seatle-reign-fc-vs-portland-thorns-fc-2018-06-30,2018-06-30,RGN,POR,RGN,1,0,loss,2018
portland-thorns-fc-vs-utah-royals-fc-2018-07-06,2018-07-06,POR,UTA,UTA,4,0,win,2018
portland-thorns-fc-vs-houston-dash-2018-07-15,2018-07-15,POR,HOU,HOU,3,1,win,2018
sky-blue-fc-vs-portland-thorns-fc-2018-07-21,2018-07-21,NJY,POR,NJY,1,2,win,2018
north-carolina-courage-vs-portland-thorns-fc-2018-08-05,2018-08-05,NC,POR,NC,2,1,loss,2018
orlando-pride-vs-portland-thorns-fc-2018-08-11,2018-08-11,ORL,POR,ORL,0,2,win,2018
portland-thorns-fc-vs-chicago-red-stars-2018-08-18,2018-08-18,POR,CHI,CHI,2,2,tie,2018
portland-thorns-fc-vs-sky-blue-fc-2018-08-22,2018-08-22,POR,NJY,NJY,2,1,win,2018
washington-spirit-vs-portland-thorns-fc-2018-08-25,2018-08-25,WAS,POR,WAS,0,1,win,2018
portland-thorns-fc-vs-seatle-reign-fc-2018-09-07,2018-09-07,POR,RGN,RGN,3,1,win,2018
portland-thorns-fc-vs-seatle-reign-fc-2018-09-15,2018-09-15,POR,RGN,RGN,2,1,win,2018
north-carolina-courage-vs-portland-thorns-fc-2018-09-22,2018-09-22,NC,POR,NC,3,0,loss,2018
orlando-pride-vs-portland-thorns-fc-2019-04-14,2019-04-14,ORL,POR,ORL,0,2,win,2019
chicago-red-stars-vs-portland-thorns-fc-2019-04-20,2019-04-20,CHI,POR,CHI,4,4,tie,2019
